location,lat,long
122 ANG MO KIO AVE 3,1.37018860700005,103.843413232
122 BEDOK NTH ST 2,1.32861719800007,103.937787149
122 BEDOK RESERVOIR RD,1.33197886800002,103.910623669
122 BISHAN ST 12,1.34681988400007,103.850614135
122 GEYLANG EAST CTRL,1.31767950300002,103.884971543
122 HOUGANG AVE 1,1.35374408100006,103.886159336
122 LOR 2 TOA PAYOH,1.33980524000003,103.846281196
122 MCNAIR RD,1.31884259700007,103.856837677
122 PASIR RIS ST 11,1.36652833500005,103.954404988
122 PAYA LEBAR WAY,1.32260037500004,103.882463204
122 PENDING RD,1.37764375100005,103.769975128
122 POTONG PASIR AVE 1,1.33493172000004,103.866124989
122 SENGKANG EAST WAY,1.38655148700002,103.906741487
122 SERANGOON NTH AVE 1,1.36669092400007,103.871359067
122 SIMEI ST 1,1.34557177300007,103.952498061
122 TECK WHYE LANE,1.37851898400004,103.749630691
122 YISHUN ST 11,1.43499758900003,103.831124796
122A SENGKANG EAST WAY,1.38661451500008,103.90602404
122D RIVERVALE DR,1.38709611200005,103.905723022
122E RIVERVALE DR,1.38795725000006,103.905852165
123 BEDOK NTH ST 2,1.32919868700003,103.937343348
123 BEDOK RESERVOIR RD,1.33231954000007,103.910394883
123 BISHAN ST 12,1.34648720600006,103.850461077
123 BT BATOK CTRL,1.35141970000006,103.747499424
123 HOUGANG AVE 1,1.35338313900007,103.886258945
123 KIM TIAN RD,1.28385157900004,103.828964703
123 MARSILING RISE,1.43911242300004,103.778949135
123 MCNAIR RD,1.31844233500004,103.856349884
123 PENDING RD,1.37756663500005,103.770660551
123 RIVERVALE DR,1.38645543500007,103.90315787
123 SIMEI ST 1,1.34530661800005,103.953187956
123 TECK WHYE LANE,1.37919636100003,103.749457686
123 YISHUN ST 11,1.43457263900007,103.831796919
123A RIVERVALE DR,1.38604164000003,103.902900566
123B RIVERVALE DR,1.38617778500003,103.902618689
123C RIVERVALE DR,1.38640852200007,103.902222112
123D RIVERVALE DR,1.38684496500002,103.902192105
123E RIVERVALE DR,1.38664916900007,103.902724691
124 ANG MO KIO AVE 6,1.37089179300006,103.844768276
