location,count
113 BT PURMEI RD,106
113 CLEMENTI ST 13,89
113 COMMONWEALTH CRES,4
113 HOUGANG AVE 1,43
113 JURONG EAST ST 13,120
113 LENGKONG TIGA,14
113 LOR 3 GEYLANG,57
113 PASIR RIS ST 11,103
113 PENDING RD,67
113 POTONG PASIR AVE 1,70
113 RIVERVALE WALK,47
113 SERANGOON NTH AVE 1,21
113 SIMEI ST 1,47
113 TAMPINES ST 11,18
113 TECK WHYE LANE,70
113 WHAMPOA RD,15
113 WOODLANDS ST 13,151
113 YISHUN RING RD,52
114 ANG MO KIO AVE 4,17
114 BISHAN ST 12,137
114 BT BATOK WEST AVE 6,86
114 BT PURMEI RD,87
114 EDGEFIELD PLAINS,22
114 HOUGANG AVE 1,41
114 JURONG EAST ST 13,1
114 LENGKONG TIGA,16
114 LOR 3 GEYLANG,22
114 PASIR RIS ST 11,100
114 PENDING RD,6
114 POTONG PASIR AVE 1,39
114 RIVERVALE WALK,26
114 SERANGOON NTH AVE 1,18
114 SIMEI ST 1,68
114 TAMPINES ST 11,6
114 TECK WHYE LANE,53
114 WHAMPOA RD,20
114 YISHUN RING RD,50
115 BEDOK NTH RD,41
115 BISHAN ST 12,50
115 BT PURMEI RD,112
115 HOUGANG AVE 1,31
115 JURONG EAST ST 13,15
115 LENGKONG TIGA,30
115 MARSILING RISE,17
115 PASIR RIS ST 11,100
115 PENDING RD,54
115 POTONG PASIR AVE 1,75
115 RIVERVALE WALK,29
115 SERANGOON NTH AVE 1,25
115 TECK WHYE LANE,46
115 WHAMPOA RD,11
115 YISHUN RING RD,39
115A YISHUN RING RD,21
115B YISHUN RING RD,19
115C YISHUN RING RD,20
116 BEDOK NTH RD,45
116 BEDOK RESERVOIR RD,68
116 BISHAN ST 12,61
116 BT BATOK WEST AVE 6,138
116 EDGEFIELD PLAINS,24
116 HOUGANG AVE 1,11
116 LENGKONG TIGA,27
116 PENDING RD,50
116 POTONG PASIR AVE 1,6
116 SERANGOON NTH AVE 1,20
116 SIMEI ST 1,119
116 TECK WHYE LANE,34
116 YISHUN RING RD,36
116A RIVERVALE DR,22
116B RIVERVALE DR,11
116C RIVERVALE DR,22
117 ANG MO KIO AVE 4,53
117 BEDOK NTH RD,50
117 BEDOK RESERVOIR RD,17
117 CLEMENTI ST 13,113
117 EDGEFIELD PLAINS,19
117 PASIR RIS ST 11,93
117 PENDING RD,6
117 POTONG PASIR AVE 1,70
117 SERANGOON NTH AVE 1,16
117 SIMEI ST 1,57
117 TECK WHYE LANE,30
117 YISHUN RING RD,31
117A RIVERVALE DR,15
117B RIVERVALE DR,14
117C RIVERVALE DR,16
118 ANG MO KIO AVE 4,39
118 BEDOK NTH ST 2,22
118 BEDOK RESERVOIR RD,38
118 BISHAN ST 12,11
118 BT BATOK WEST AVE 6,88
118 CLEMENTI ST 13,147
118 EDGEFIELD PLAINS,12
118 PASIR RIS ST 11,85
118 PENDING RD,60
118 POTONG PASIR AVE 1,25
118 SERANGOON NTH AVE 1,109
118 TECK WHYE LANE,56
118 YISHUN RING RD,46
118A JALAN MEMBINA,54
118B JALAN MEMBINA,18
118C JALAN MEMBINA,21
118D JALAN MEMBINA,57
119 ANG MO KIO AVE 3,11
119 BEDOK NTH RD,160
119 BEDOK RESERVOIR RD,47
119 BT BATOK WEST AVE 6,65
119 HOUGANG AVE 1,18
119 MARSILING RISE,20
119 MCNAIR RD,63
119 PASIR RIS ST 11,90
119 PENDING RD,4
119 POTONG PASIR AVE 1,57
119 SIMEI ST 1,60
119 TECK WHYE LANE,36
119 YISHUN RING RD,13
119A RIVERVALE DR,13
119B KIM TIAN RD,58
119B RIVERVALE DR,21
119C KIM TIAN RD,48
119C RIVERVALE DR,6
119D KIM TIAN RD,36
119D RIVERVALE DR,5
12 CANTONMENT CL,24
12 FARRER PK RD,41
12 HOLLAND AVE,59
12 JALAN BT MERAH,24
12 JOO SENG RD,15
12 KG ARANG RD,35
12 PINE CL,23
12 SHORT ST,2
12 ST. GEORGE'S RD,9
12 TOH YI DR,41
120 ANG MO KIO AVE 3,38
120 BEDOK NTH ST 2,23
120 BEDOK RESERVOIR RD,119
120 BISHAN ST 12,10
120 BT MERAH VIEW,93
120 GEYLANG EAST CTRL,72
120 HOUGANG AVE 1,11
120 KIM TIAN PL,24
120 MARSILING RISE,24
120 MCNAIR RD,82
120 PENDING RD,30
120 POTONG PASIR AVE 1,50
120 SERANGOON NTH AVE 1,83
120 SIMEI ST 1,56
120 YISHUN RING RD,84
120A KIM TIAN PL,22
120A RIVERVALE DR,16
120B RIVERVALE DR,26
120C RIVERVALE DR,9
121 ANG MO KIO AVE 3,26
121 BEDOK NTH RD,172
121 BEDOK RESERVOIR RD,19
121 BISHAN ST 12,11
121 HOUGANG AVE 1,6
121 KIM TIAN PL,31
121 LOR 2 TOA PAYOH,16
121 MCNAIR RD,77
121 PASIR RIS ST 11,105
121 PAYA LEBAR WAY,256
121 PENDING RD,22
121 POTONG PASIR AVE 1,40
121 RIVERVALE DR,19
121 SERANGOON NTH AVE 1,10
121 TECK WHYE LANE,51
121 YISHUN ST 11,49
121A KIM TIAN PL,25
121A RIVERVALE DR,20
121B RIVERVALE DR,13
121C SENGKANG EAST WAY,16
121D SENGKANG EAST WAY,26
122 ANG MO KIO AVE 3,41
122 BEDOK NTH ST 2,27
122 BEDOK RESERVOIR RD,140
122 BISHAN ST 12,124
122 GEYLANG EAST CTRL,77
122 HOUGANG AVE 1,7
122 LOR 2 TOA PAYOH,46
122 MCNAIR RD,47
122 PASIR RIS ST 11,112
122 PAYA LEBAR WAY,96
122 PENDING RD,10
122 POTONG PASIR AVE 1,36
122 SENGKANG EAST WAY,19
122 SERANGOON NTH AVE 1,29
122 SIMEI ST 1,78
122 TECK WHYE LANE,32
122 YISHUN ST 11,57
122A SENGKANG EAST WAY,6
122D RIVERVALE DR,15
122E RIVERVALE DR,13
123 BEDOK NTH ST 2,3
123 BEDOK RESERVOIR RD,88
123 BISHAN ST 12,107
123 BT BATOK CTRL,38
123 HOUGANG AVE 1,12
123 KIM TIAN RD,27
123 MARSILING RISE,27
123 MCNAIR RD,43
123 PENDING RD,59
123 RIVERVALE DR,11
123 SIMEI ST 1,134
123 TECK WHYE LANE,44
123 YISHUN ST 11,72
123A RIVERVALE DR,15
123B RIVERVALE DR,13
123C RIVERVALE DR,19
123D RIVERVALE DR,8
123E RIVERVALE DR,12
124 ANG MO KIO AVE 6,29
124 BEDOK NTH RD,56
124 BEDOK RESERVOIR RD,93
124 BISHAN ST 12,56
124 BT BATOK CTRL,41
124 GEYLANG EAST AVE 1,62
124 HOUGANG AVE 1,17
124 MARSILING RISE,21
124 MCNAIR RD,49
124 PASIR RIS ST 11,115
124 RIVERVALE DR,21
124 SERANGOON NTH AVE 1,28
124 SIMEI ST 1,61
124 TECK WHYE LANE,50
124 YISHUN ST 11,60
124A BT MERAH VIEW,23
124A RIVERVALE DR,18
124B BT MERAH VIEW,37
124B RIVERVALE DR,74
124C RIVERVALE DR,62
125 BEDOK NTH RD,48
125 BEDOK RESERVOIR RD,136
125 BISHAN ST 12,41
125 BT MERAH VIEW,25
125 GEYLANG EAST AVE 1,44
125 HOUGANG AVE 1,29
125 KIM TIAN RD,13
125 PASIR RIS ST 11,74
125 PENDING RD,57
125 RIVERVALE ST,29
125 YISHUN ST 11,42
126 ANG MO KIO AVE 3,34
126 BEDOK NTH ST 2,58
126 BEDOK RESERVOIR RD,22
126 BISHAN ST 12,63
126 BT BATOK CTRL,11
126 GEYLANG EAST AVE 1,36
126 HOUGANG AVE 1,3
126 PASIR RIS ST 11,128
126 PENDING RD,46
126 RIVERVALE ST,20
126 SERANGOON NTH AVE 1,88
126 SIMEI ST 1,60
126 TAMPINES ST 11,20
126 YISHUN ST 11,68
126A EDGEDALE PLAINS,37
126A KIM TIAN RD,10
126C EDGEDALE PLAINS,39
126C KIM TIAN RD,9
127 ANG MO KIO AVE 3,25
127 BEDOK NTH ST 2,61
127 BEDOK RESERVOIR RD,16
127 BISHAN ST 12,67
127 BT BATOK WEST AVE 6,53
127 GEYLANG EAST AVE 1,51
127 HOUGANG AVE 1,5
127 MARSILING RISE,36
127 PASIR RIS ST 11,88
127 PENDING RD,15
127 RIVERVALE ST,31
127 SERANGOON NTH AVE 1,86
127 SIMEI ST 1,58
127 TAMPINES ST 11,8
127 YISHUN ST 11,45
127A KIM TIAN RD,4
127C KIM TIAN RD,4
127D KIM TIAN RD,10
128 ANG MO KIO AVE 3,19
128 BEDOK NTH ST 2,41
128 BEDOK RESERVOIR RD,90
128 BT BATOK WEST AVE 6,5
128 GEYLANG EAST AVE 1,35
128 KIM TIAN RD,80
128 PENDING RD,50
128 RIVERVALE ST,30
128 YISHUN ST 11,57
128A PUNGGOL FIELD WALK,25
128C PUNGGOL FIELD WALK,23
129 ANG MO KIO AVE 3,25
129 BEDOK NTH ST 2,41
129 BEDOK RESERVOIR RD,7
129 BISHAN ST 12,8
129 BT BATOK WEST AVE 6,90
129 CLARENCE LANE,72
129 GEYLANG EAST AVE 2,6
129 KIM TIAN RD,95
129 LOR AH SOO,130
129 RIVERVALE ST,43
129 SIMEI ST 1,9
129 YISHUN ST 11,17
12A MARSILING LANE,11
12B MARSILING LANE,8
12C MARSILING LANE,8
13 CANTONMENT CL,27
13 EUNOS CRES,10
13 FARRER PK RD,49
13 HOLLAND DR,76
13 JALAN BT MERAH,24
13 JOO SENG RD,33
13 TOH YI DR,62
13 UPP BOON KENG RD,28
130 ANG MO KIO AVE 3,26
130 BEDOK NTH ST 2,125
130 BISHAN ST 12,130
130 BT BATOK WEST AVE 6,80
130 CHOA CHU KANG AVE 1,23
130 CLARENCE LANE,63
130 EDGEDALE PLAINS,30
130 LOR AH SOO,80
130 RIVERVALE ST,51
130 SIMEI ST 1,61
130 YISHUN ST 11,56
131 ANG MO KIO AVE 3,85
131 BEDOK NTH AVE 3,118
131 BEDOK RESERVOIR RD,72
131 BISHAN ST 12,80
131 BT BATOK WEST AVE 6,63
131 CASHEW RD,38
131 CHOA CHU KANG AVE 1,23
131 RIVERVALE ST,77
131 SIMEI ST 1,49
131 YISHUN ST 11,69
131B KIM TIAN RD,23
131C KIM TIAN RD,43
132 ANG MO KIO AVE 3,16
132 BEDOK NTH ST 2,163
132 BEDOK RESERVOIR RD,94
132 BISHAN ST 12,8
132 BT BATOK WEST AVE 6,16
132 CASHEW RD,45
132 CHOA CHU KANG AVE 1,17
132 EDGEDALE PLAINS,23
132 MARSILING RISE,2
132 RIVERVALE ST,39
132 SIMEI ST 1,23
132 YISHUN ST 11,68
133 ANG MO KIO AVE 3,3
133 BEDOK NTH AVE 3,141
133 BEDOK RESERVOIR RD,96
133 BISHAN ST 12,11
133 BT BATOK WEST AVE 6,16
133 EDGEDALE PLAINS,29
133 LOR AH SOO,128
133 RIVERVALE ST,4
133 SIMEI ST 1,65
133 YISHUN ST 11,16
134 ANG MO KIO AVE 3,126
134 BEDOK NTH ST 2,47
134 BEDOK RESERVOIR RD,119
134 BT BATOK WEST AVE 6,33
134 EDGEDALE PLAINS,45
134 GEYLANG EAST AVE 1,15
134 JALAN BT MERAH,50
134 LOR AH SOO,72
134 POTONG PASIR AVE 3,28
134 RIVERVALE ST,3
134 SIMEI ST 1,85
134 YISHUN ST 11,27
135 BEDOK NTH ST 2,37
135 BEDOK RESERVOIR RD,108
135 BT BATOK WEST AVE 6,30
135 EDGEDALE PLAINS,46
135 JALAN BT MERAH,33
135 LOR AH SOO,135
135 POTONG PASIR AVE 3,24
135 SERANGOON NTH AVE 2,7
135 SIMEI ST 1,80
135 TECK WHYE LANE,6
135 YISHUN ST 11,27
136 BEDOK NTH AVE 3,5
136 BEDOK RESERVOIR RD,43
136 BISHAN ST 12,54
136 BT BATOK WEST AVE 6,29
136 PETIR RD,23
136 POTONG PASIR AVE 3,26
136 SERANGOON NTH AVE 2,42
136 SIMEI ST 1,100
136 TECK WHYE LANE,21
136 YISHUN RING RD,55
137 BEDOK NTH AVE 3,15
137 BT BATOK WEST AVE 6,17
137 LOR AH SOO,123
137 MARSILING RD,11
137 PETIR RD,49
137 POTONG PASIR AVE 3,22
137 SERANGOON NTH AVE 2,5
137 SIMEI ST 1,85
137 TECK WHYE LANE,21
137 YISHUN RING RD,65
138 BEDOK NTH ST 2,34
138 BEDOK RESERVOIR RD,19
138 BISHAN ST 12,70
138 BT BATOK WEST AVE 6,26
138 EDGEDALE PLAINS,43
138 LOR AH SOO,82
138 PASIR RIS ST 11,14
138 POTONG PASIR AVE 3,30
138 SIMEI ST 1,53
138 YISHUN RING RD,30
138A LOR 1A TOA PAYOH,2
138B LOR 1A TOA PAYOH,5
138C LOR 1A TOA PAYOH,3
139 BEDOK NTH AVE 3,27
139 BEDOK RESERVOIR RD,41
139 BISHAN ST 12,8
139 BT BATOK WEST AVE 6,8
139 JALAN BT MERAH,29
139 LOR AH SOO,64
139 PASIR RIS ST 11,24
139 PETIR RD,42
139 POTONG PASIR AVE 3,46
139 SERANGOON NTH AVE 2,40
139 SIMEI ST 1,34
139 YISHUN RING RD,65
139A LOR 1A TOA PAYOH,6
139B LOR 1A TOA PAYOH,5
14 EUNOS CRES,13
14 JALAN BT MERAH,33
14 JOO SENG RD,9
14 KG ARANG RD,28
14 LOR 7 TOA PAYOH,50
14 ST. GEORGE'S RD,10
14 TELOK BLANGAH CRES,18
14 TOH YI DR,59
14 UPP BOON KENG RD,17
140 BEDOK RESERVOIR RD,65
140 BISHAN ST 12,61
140 LOR AH SOO,18
140 MARSILING RD,26
140 PASIR RIS ST 11,21
140 PETIR RD,30
140 POTONG PASIR AVE 3,26
140 RIVERVALE ST,92
140 SERANGOON NTH AVE 2,73
140 TAMPINES ST 12,142
140 YISHUN RING RD,45
141 BEDOK RESERVOIR RD,104
141 BISHAN ST 12,48
141 JALAN BT MERAH,19
141 LOR 2 TOA PAYOH,68
141 PASIR RIS ST 11,11
141 PETIR RD,37
141 POTONG PASIR AVE 3,30
141 RIVERVALE ST,30
141 SERANGOON NTH AVE 2,63
141 SIMEI ST 2,80
141 TAMPINES ST 12,85
141 TECK WHYE LANE,24
141 YISHUN RING RD,46
142 BEDOK RESERVOIR RD,90
142 BISHAN ST 12,37
142 JALAN BT MERAH,19
142 LOR 2 TOA PAYOH,36
142 LOR AH SOO,115
142 PASIR RIS ST 11,99
142 PETIR RD,55
142 POTONG PASIR AVE 3,34
142 RIVERVALE CRES,15
142 SIMEI ST 2,45
142 TAMPINES ST 12,16
142 TECK WHYE LANE,20
142 YISHUN RING RD,38
143 BEDOK RESERVOIR RD,25
